symbol
RCAT
VOYG
AISP
GPUS
BAH
PLUG
ASTS
TTD
OGN
NAKA
STUB
OKLO
AIRO
INTC
SKLZ
NTLA
QS
RH
APLD
TGT
LCID
KALA
AFRM
SBET
JBLU
BYND
EDU
BMNR
DJT
BIDU
CHGG
TSLA
TPR
SMCI
DUOL
DLTR
CELH
ACB
RDDT
HTZ
OPEN
ATZAF
KLAR
EXOD
BBAI
ATCH
MRNA
COIN
GDRX
MSTR
VKTX
SYNA
BA
PZZA
GOTU
SBUX
CPRI
PLTR
ARM
HUM
RMBS
PLX
UPS
JMIA
AMAT
MASI
GEMI
CHWY
SNAP
VRT
TOL
NIO
TDOC
EXPE
CRCL
T
UAA
NFLX
GRPN
AMZN
M
ADM
JD
TRIP
RBLX
ETSY
NKE
PINS
PYPL
BMR
HOOD
UAL
ACAD
CVNA
FDX
SMG
RPRX
DIS
SNPS
W
CMCSA
DOCU
CCL
PWR
LYFT
WYNN
KRE
BTC
VOO
UNP
OKTA
CRM
HAL
ROKU
BBAR
PBI
LUMN
SCHW
SNOW
NEE
ANF
FIG
WDAY
NTSK
LULU
MSFT
DASH
LC
IBM
HSBC
CORZ
CAT
RELY
DLR
PPRUF
GOOG
PCG
PSKY
AAP
WAL
ASML
ILMN
BILL
COMP
S
AI
EQIX
MRVL
CHKP
NTGR
DKNG
RIME
META
GDDY
PANW
Z
DG
RCL
PTON
NVO
AAPL
MTCH
FVRR
ASAN
CRWD
SAP
TWLO
GME
GTLB
NVAX
TEAM
FSLY
CRWV
SFIX
BETRW
